epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,661.204,1.67507,2.40181,1.49448,0.43823,0.41822,0.38554,0.18981,1.79185,2.29458,1.56126,0.0006633,0.0006633,0.0006633
2,1291.78,1.68935,1.9539,1.53736,0.50384,0.35509,0.38645,0.1989,1.72231,2.00479,1.55815,0.0011983,0.0011983,0.0011983
3,1917.21,1.70362,1.80928,1.55465,0.5818,0.47274,0.52217,0.26705,1.66531,1.85537,1.54558,0.0016013,0.0016013,0.0016013
4,2498.46,1.63314,1.64358,1.52695,0.55749,0.48494,0.51881,0.29555,1.56204,1.57337,1.43849,0.001406,0.001406,0.001406
5,3062.52,1.55696,1.48619,1.43199,0.65202,0.53372,0.59819,0.33724,1.56718,1.48917,1.45509,0.001208,0.001208,0.001208
6,3626.72,1.51383,1.40983,1.41147,0.69387,0.56096,0.63194,0.3698,1.4543,1.41174,1.39351,0.00101,0.00101,0.00101
7,4175.07,1.44475,1.31768,1.36766,0.71201,0.59326,0.66761,0.38087,1.45179,1.36585,1.364,0.000812,0.000812,0.000812
8,4831.33,1.42283,1.26635,1.33235,0.66913,0.61765,0.67639,0.41941,1.36429,1.23064,1.30759,0.000614,0.000614,0.000614
9,5659.07,1.33206,1.1718,1.2988,0.72604,0.63702,0.70969,0.44127,1.30786,1.18715,1.28887,0.000416,0.000416,0.000416
10,6495.26,1.29643,1.10746,1.27048,0.73838,0.61836,0.71554,0.45265,1.29371,1.1391,1.26477,0.000218,0.000218,0.000218
